acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13593,-1488,-2,16616
4095,4095,13594,-1514,-48,16558
4095,4095,13594,-1514,-48,16558
4095,4095,13595,-1486,24,16762
4095,4095,13595,-1486,24,16762
4095,4095,13596,-1468,50,16558
4095,4095,13596,-1468,50,16558
4095,4095,13597,-1428,-58,16532
4095,4095,13597,-1428,-58,16532
4095,4095,13598,-1510,18,16668
4095,4095,13598,-1510,18,16668
4095,4095,13599,-1494,-44,16754
4095,4095,13599,-1494,-44,16754
4095,4095,13600,-1456,-28,16810
4095,4095,13600,-1456,-28,16810
4095,4095,13601,-1462,4,16744
4095,4095,13601,-1462,4,16744
4095,4095,13602,-1488,6,16696
4095,4095,13602,-1488,6,16696
4095,4095,13603,-1478,-8,16774
4095,4095,13603,-1478,-8,16774
4095,4095,13604,-1510,-44,16780
4095,4095,13604,-1510,-44,16780
4095,4095,13605,-1480,42,16606
4095,4095,13605,-1480,42,16606
4095,4095,13606,-1502,-8,16758
4095,4095,13606,-1502,-8,16758
4095,4095,13607,-1490,-20,16798
4095,4095,13607,-1490,-20,16798
4095,4095,13608,-1474,-22,16716
4095,4095,13608,-1474,-22,16716
4095,4095,13609,-1462,-12,16694
4095,4095,13609,-1462,-12,16694
4095,4095,13610,-1500,-44,16736
4095,4095,13610,-1500,-44,16736
4095,4095,13611,-1450,-44,16704
4095,4095,13611,-1450,-44,16704
4095,4095,13612,-1486,-38,16700
4095,4095,13612,-1486,-38,16700
4095,4095,13613,-1448,-20,16766
4095,4095,13613,-1448,-20,16766
4095,4095,13614,-1446,-8,16726
4095,4095,13614,-1446,-8,16726
4095,4095,13615,-1470,-38,16680
4095,4095,13615,-1470,-38,16680
4095,4095,13616,-1466,0,16794
4095,4095,13616,-1466,0,16794
4095,4095,13617,-1484,-14,16752
4095,4095,13617,-1484,-14,16752
4095,4095,13618,-1510,24,16700
4095,4095,13618,-1510,24,16700
4095,4095,13619,-1480,-24,16712
4095,4095,13619,-1480,-24,16712
4095,4095,13620,-1476,-28,16700
4095,4095,13620,-1476,-28,16700
4095,4095,13621,-1456,-18,16742
4095,4095,13621,-1456,-18,16742
4095,4095,13622,-1468,-10,16780
4095,4095,13622,-1468,-10,16780
4095,4095,13623,-1452,12,16720
4095,4095,13623,-1452,12,16720
4095,4095,13624,-1518,-42,16744
4095,4095,13624,-1518,-42,16744
4095,4095,13625,-1462,-14,16868
4095,4095,13625,-1462,-14,16868
